seed,opponent,architecture,final_money,opponent_final_money,margin,win,total_purchase_spend,spend_hires,spend_seeds,spend_wheat,spend_animals,spend_land,spend_fertilizer,average_cash,minimum_cash,cash_day_5,cash_day_9,cash_day_11,cash_day_13,cash_day_20,cash_day_28,capital_efficiency,land_purchases,ne_unlock_day,sw_unlock_day,animal_purchases,seed_purchases,critical_wheat_purchases,feed_failures,shed_overflow_events,endgame_unsold_inventory,turns_with_slot_pressure,diverged_turns,changed_selection_turns,execution_reorder_only_turns,p0_inversions,suppressed_candidates_total
120,random,historical_stack,68551.0,0.0,68551.0,1,81282.0,75450.0,1721.0,1511.0,600.0,2000.0,0.0,23206.48,303.0,947.0,579.0,3268.0,15287.0,29395.0,62976.0,0.8434,1,6,,2,164,50,0,0,0,0,0,0,0,0,61
120,starter,historical_candidates_central,73815.0,3487.0,70328.0,1,83020.0,75450.0,1707.0,3263.0,600.0,2000.0,0.0,24166.38,303.0,947.0,500.0,3094.0,18741.0,29860.0,66501.0,0.8891,1,6,,2,155,98,0,2,0,10,8,4,4,0,60
120,starter,historical_stack,74091.0,3483.0,70608.0,1,83020.0,75450.0,1707.0,3263.0,600.0,2000.0,0.0,24037.99,303.0,947.0,500.0,3094.0,17852.0,29902.0,66512.0,0.8924,1,6,,2,155,98,0,3,0,0,0,0,0,0,60
121,random,historical_candidates_central,75371.0,0.0,75371.0,1,82876.0,75450.0,1677.0,3149.0,600.0,2000.0,0.0,24126.04,303.0,947.0,500.0,3075.0,18841.0,29609.0,66980.0,0.9094,1,6,,2,155,94,0,2,0,9,8,3,5,0,62
121,random,historical_stack,76514.0,0.0,76514.0,1,83948.0,75450.0,1709.0,4189.0,600.0,2000.0,0.0,24333.4,303.0,947.0,500.0,2944.0,17941.0,28804.0,69365.0,0.9114,1,6,,2,156,120,0,3,0,0,0,0,0,0,63
121,starter,historical_candidates_central,74447.0,3481.0,70966.0,1,82828.0,75450.0,1677.0,3101.0,600.0,2000.0,0.0,24125.42,303.0,947.0,500.0,3094.0,18821.0,30131.0,66261.0,0.8988,1,6,,2,155,94,0,2,0,9,8,3,5,0,62
121,starter,historical_stack,73359.0,3471.0,69888.0,1,82744.0,75450.0,1677.0,3017.0,600.0,2000.0,0.0,23931.75,303.0,947.0,500.0,3094.0,17932.0,30173.0,65696.0,0.8866,1,6,,2,155,92,0,3,0,0,0,0,0,0,61
122,random,historical_candidates_central,70052.0,0.0,70052.0,1,83643.0,75450.0,1702.0,3891.0,600.0,2000.0,0.0,22784.03,303.0,947.0,580.0,2588.0,17137.0,27715.0,63715.0,0.8375,1,6,,2,154,118,0,2,0,7,8,3,5,0,57
122,random,historical_stack,64573.0,0.0,64573.0,1,82051.0,75450.0,1763.0,2238.0,600.0,2000.0,0.0,20735.51,306.0,948.0,503.0,2905.0,14740.0,25766.0,56054.0,0.787,1,6,,2,162,77,0,0,0,0,0,0,0,0,59
122,starter,historical_candidates_central,65360.0,3419.0,61941.0,1,82269.0,75450.0,1707.0,2512.0,600.0,2000.0,0.0,21636.05,306.0,948.0,503.0,2425.0,16887.0,26110.0,59013.0,0.7945,1,6,,2,155,80,0,1,0,4,5,3,2,0,58
122,starter,historical_stack,64744.0,3419.0,61325.0,1,82269.0,75450.0,1707.0,2512.0,600.0,2000.0,0.0,21475.07,306.0,948.0,503.0,2425.0,15997.0,26151.0,58681.0,0.787,1,6,,2,155,80,0,2,0,0,0,0,0,0,58
123,random,historical_candidates_central,67614.0,160.0,67454.0,1,83088.0,75450.0,1702.0,3336.0,600.0,2000.0,0.0,22536.77,306.0,948.0,573.0,3096.0,16597.0,27366.0,61352.0,0.8138,1,6,,2,154,110,0,1,0,7,7,2,5,0,58
123,random,historical_stack,76989.0,0.0,76989.0,1,82273.0,75450.0,1702.0,2521.0,600.0,2000.0,0.0,24410.63,303.0,947.0,577.0,2906.0,16118.0,29007.0,69513.0,0.9358,1,6,,2,154,77,0,1,0,0,0,0,0,0,56
123,starter,historical_candidates_central,70238.0,3507.0,66731.0,1,82159.0,75450.0,1702.0,2407.0,600.0,2000.0,0.0,23012.32,303.0,947.0,579.0,2844.0,15821.0,27935.0,64012.0,0.8549,1,6,,2,154,78,0,1,0,9,7,2,5,0,56
123,starter,historical_stack,70257.0,3507.0,66750.0,1,82159.0,75450.0,1702.0,2407.0,600.0,2000.0,0.0,22988.21,303.0,947.0,579.0,2844.0,15821.0,27935.0,64055.0,0.8551,1,6,,2,154,78,0,1,0,0,0,0,0,0,56
124,random,historical_candidates_central,55464.0,0.0,55464.0,1,83026.0,75450.0,1708.0,3268.0,600.0,2000.0,0.0,19329.57,306.0,948.0,573.0,2788.0,16008.0,23992.0,51086.0,0.668,1,6,,2,159,118,0,1,0,8,8,2,6,0,59
